system	x	y	x_name	y_name	edge_type	x_number	y_number	x_id	y_id	n_x	sh_x	median_x	q90_x	frac>0_x	variance_x	std_x	n_y	sh_y	median_y	q90_y	frac>0_y	variance_y	std_y	abs_delta	delta	cohens_d	system_name	pct_change	abs_pct_change
Brain_spinal_cord	BS_M20	BS_M33	Hindbrain	Oligodendrocyte progenitor cells	Developmental progression	220	234	115	180	197367	0.103053345427093	-0.0550983460744221	0.766168398539225	0.485871498274788	0.244167442165087	0.494133020719206	29522	-0.0946420630863321	-0.214361572265625	0.372118072191874	0.272542510670009	0.0898005677995498	0.299667428659756	0.197695	-0.197695	-0.4838	Brain_spinal_cord	-191.84	191.84
Brain_spinal_cord	BS_M24	BS_M9	Intermediate neuronal progenitors	Cortical Interneurons (Prox1+)	Developmental progression	224	263	123	63	42068	-0.239470267113166	-0.271895306905111	-0.138902460734049	0.0655842920985071	0.0300685569345399	0.173402874643242	7555	-0.0418524777101886	-0.0821612548828125	0	0.0953011250827266	0.024096946241291	0.155231911156473	0.197618	0.197618	1.2008	Brain_spinal_cord	-82.52	82.52
Brain_spinal_cord	BS_M24	BS_M56	Intermediate neuronal progenitors	Upper-layer neurons	Developmental progression	224	259	123	255	42068	-0.239470267113166	-0.271895306905111	-0.138902460734049	0.0655842920985071	0.0300685569345399	0.173402874643242	238829	-0.049014933991142	-0.0690580050150553	-0.0174989782969156	0.0516603930008499	0.0125262514627005	0.111920737411351	0.190455	0.190455	1.3051	Brain_spinal_cord	-79.53	79.53
Brain_spinal_cord	BS_M27	BS_M2	Midbrain-hindbrain boundary	Anterior roof plate	Developmental progression	227	219	149	23	66071	-0.0164505061721766	-0.197997894287109	0.56727040608724	0.402309636603048	0.173714632375995	0.416790873671671	16098	-0.20591600948211	-0.295965830485026	0.208922461191813	0.178345136041744	0.069927041163656	0.264437215920256	0.189466	-0.189466	-0.5428	Brain_spinal_cord	1151.73	1151.73
Brain_spinal_cord	BS_M48	BS_M18	Spinal V1 interneurons	GABAergic neurons (after E13.0)	Developmental progression	250	217	226	100	31325	0.163904043226554	-0.0539919026692708	0.689153340657552	0.36561851556265	0.137271760243252	0.370502038109445	292004	-0.0023757197740751	-0.0739524714152018	0.296247271060944	0.198202764345694	0.0359394175010712	0.189576943484885	0.16628	-0.16628	-0.565	Brain_spinal_cord	-101.45	101.45
Brain_spinal_cord	BS_M20	BS_M30	Hindbrain	Neural progenitor cells (Ror1+)	Developmental progression	220	231	115	171	197367	0.103053345427093	-0.0550983460744221	0.766168398539225	0.485871498274788	0.244167442165087	0.494133020719206	33240	-0.0618870615631975	-0.205730260213216	0.471128828366598	0.276835138387485	0.120561892388926	0.347220236145485	0.16494	-0.16494	-0.3862	Brain_spinal_cord	-160.05	160.05
Brain_spinal_cord	BS_M23	BS_M21	Hypothalamus (Sim1+)	Hypothalamic Sim1 neurons	Developmental progression	223	221	120	118	14611	0.225904309727248	0.234388628005981	0.840341040293376	0.63657518308124	0.238700008931474	0.488569349152681	19592	0.0757080723496786	-0.0626638666788736	0.515428798834483	0.285320538995508	0.074360013041001	0.272690324435982	0.150196	-0.150196	-0.3796	Brain_spinal_cord	-66.49	66.49
Brain_spinal_cord	BS_M54	BS_M24	Telencephalon	Intermediate neuronal progenitors	Developmental progression	257	224	249	123	430409	-0.100109493896111	-0.284858779907227	0.516481998443604	0.272419954043712	0.186895615107366	0.43231425503604	42068	-0.239470267113166	-0.271895306905111	-0.138902460734049	0.0655842920985071	0.0300685569345399	0.173402874643242	0.139361	-0.139361	-0.4231	Brain_spinal_cord	139.21	139.21
Brain_spinal_cord	BS_M25	BS_M12	Midbrain	Di/mesencephalon GABAergic neurons	Developmental progression	225	211	147	74	145124	-0.07517710412365	-0.253164393107096	0.513633473396301	0.280918387034536	0.170816608134441	0.413299659005957	15589	0.0566666931513323	-0.0671457544962565	0.487402963956197	0.254859195586632	0.0666561230534441	0.258178471320604	0.131844	0.131844	0.3826	Brain_spinal_cord	-175.38	175.38
Brain_spinal_cord	BS_M40	BS_M29	Spinal cord/r7/r8	Neural progenitor cells (Neurod1+)	Developmental progression	242	229	234	170	395636	0.136689090693391	0.0402177397410075	0.777916674613953	0.511889716810402	0.238213156191441	0.488070851610133	23270	0.0086232985429035	-0.206906318664551	0.574255112965902	0.41027073485174	0.171048175782119	0.413579709103479	0.128066	-0.128066	-0.2831	Brain_spinal_cord	-93.69	93.69
