id	meta_group	celltype_new	system	sh
200	B_M27	T-NK progenitors	Blood	-0.0262751244503678
201	B_M3	B cell progenitors	Blood	0.0414472683117349
202	B_M4	B cells	Blood	-0.0075475305069055
203	B_M5	Border-associated macrophages	Blood	-0.0428894282681379
204	B_M6	Border-associated macrophages (Ms4a8a+)	Blood	-0.0636300352396997
205	B_M7	Conventional dendritic cells	Blood	-0.0671799229205339
206	B_M8	Definitive early erythroblasts (CD36-)	Blood	0.0159490046732279
207	B_M9	Definitive erythroblasts (CD36+)	Blood	-0.003717530398278
208	BS_M1	Anterior floor plate	Brain_spinal_cord	0.0702193789847201
209	BS_M10	Cranial motor neurons	Brain_spinal_cord	0.129530485828222
210	BS_M11	Deep-layer neurons	Brain_spinal_cord	-0.037414452020403
211	BS_M12	Di/mesencephalon GABAergic neurons	Brain_spinal_cord	0.0566666931513323
212	BS_M13	Di/mesencephalon glutamatergic neurons	Brain_spinal_cord	-0.0005864013707941
213	BS_M14	Diencephalon	Brain_spinal_cord	0.1054517548544
214	BS_M15	Dorsal telencephalon	Brain_spinal_cord	-0.174602550272181
215	BS_M16	Ependymal cells	Brain_spinal_cord	-0.224947271858126
216	BS_M17	GABAergic cortical interneurons	Brain_spinal_cord	0.0159846617257046
217	BS_M18	GABAergic neurons (after E13.0)	Brain_spinal_cord	-0.0023757197740751
218	BS_M19	Glutamatergic neurons (after E13.0)	Brain_spinal_cord	-0.009946817087078
219	BS_M2	Anterior roof plate	Brain_spinal_cord	-0.20591600948211
220	BS_M20	Hindbrain	Brain_spinal_cord	0.103053345427093
221	BS_M21	Hypothalamic Sim1 neurons	Brain_spinal_cord	0.0757080723496786
222	BS_M22	Hypothalamus	Brain_spinal_cord	0.350482805846122
223	BS_M23	Hypothalamus (Sim1+)	Brain_spinal_cord	0.225904309727248
224	BS_M24	Intermediate neuronal progenitors	Brain_spinal_cord	-0.239470267113166
225	BS_M25	Midbrain	Brain_spinal_cord	-0.07517710412365
226	BS_M26	Midbrain dopaminergic neurons	Brain_spinal_cord	0.0486489505469889
227	BS_M27	Midbrain-hindbrain boundary	Brain_spinal_cord	-0.0164505061721766
228	BS_M28	Multiciliated ependymal cells	Brain_spinal_cord	-0.0267291244863323
229	BS_M29	Neural progenitor cells (Neurod1+)	Brain_spinal_cord	0.0086232985429035
230	BS_M3	Astrocytes	Brain_spinal_cord	0.197301361809794
231	BS_M30	Neural progenitor cells (Ror1+)	Brain_spinal_cord	-0.0618870615631975
232	BS_M31	NMPs and spinal cord progenitors	Brain_spinal_cord	0.221457792405726
233	BS_M32	Neurons (Slc17a8+)	Brain_spinal_cord	0.109342810285699
234	BS_M33	Oligodendrocyte progenitor cells	Brain_spinal_cord	-0.0946420630863321
235	BS_M34	Floorplate and p3 domain	Brain_spinal_cord	0.3423115149509
236	BS_M35	Posterior roof plate	Brain_spinal_cord	0.0087103914324973
237	BS_M36	Precerebellar neurons	Brain_spinal_cord	0.0305497378249932
238	BS_M37	Spinal cord dorsal progenitors (after E13.0)	Brain_spinal_cord	NA
239	BS_M38	Spinal cord motor neurons	Brain_spinal_cord	0.0879387216959085
240	BS_M39	Spinal cord ventral progenitors (after E13.0)	Brain_spinal_cord	NA
241	BS_M4	Cajal-Retzius cells	Brain_spinal_cord	-0.22633422180175
242	BS_M40	Spinal cord/r7/r8	Brain_spinal_cord	0.136689090693391
243	BS_M41	Spinal dI1 interneurons	Brain_spinal_cord	0.0036956946854629
244	BS_M42	Spinal dI2 interneurons	Brain_spinal_cord	0.0192526457188165
245	BS_M43	Spinal dI3 interneurons	Brain_spinal_cord	0.0302323496414884
246	BS_M44	Spinal dI4 interneurons	Brain_spinal_cord	0.0164413868766266
247	BS_M45	Spinal dI5 interneurons	Brain_spinal_cord	0.0390962065526684
248	BS_M46	Spinal dI6 interneurons	Brain_spinal_cord	0.0479311992156452
249	BS_M47	Spinal V0 interneurons	Brain_spinal_cord	0.0743866723853459
250	BS_M48	Spinal V1 interneurons	Brain_spinal_cord	0.163904043226554
251	BS_M49	Spinal V2a interneurons	Brain_spinal_cord	0.0953653457629104
252	BS_M5	Cerebellar Purkinje cells	Brain_spinal_cord	-0.2340936616026
253	BS_M50	Spinal V2b interneurons	Brain_spinal_cord	0.0509963525922235
254	BS_M51	Spinal V3 interneurons	Brain_spinal_cord	0.205479289754733
255	BS_M52	Striatal projection neurons	Brain_spinal_cord	-0.018424671146456
256	BS_M53	Subplate neurons	Brain_spinal_cord	-0.0441786232589647
257	BS_M54	Telencephalon	Brain_spinal_cord	-0.100109493896111
258	BS_M55	Thalamic neuronal precursors	Brain_spinal_cord	-0.222155036128295
259	BS_M56	Upper-layer neurons	Brain_spinal_cord	-0.049014933991142
260	BS_M6	Cerebellum-related cells	Brain_spinal_cord	0.21548594019155
261	BS_M7	Choroid plexus	Brain_spinal_cord	-0.126428845065994
262	BS_M8	Committed oligodendrocyte precursors	Brain_spinal_cord	-0.0550866318741901
263	BS_M9	Cortical Interneurons (Prox1+)	Brain_spinal_cord	-0.0418524777101886
264	M_M1	Adipocyte cells (Cyp2e1+)	Mesoderm	-0.22429185143452
265	M_M10	Fibroblasts	Mesoderm	-0.0895595056723635
266	M_M11	Mesodermal progenitors (Tbx6+)	Mesoderm	-0.0245923028788872
267	M_M12	Muscle progenitor cells	Mesoderm	-0.0591014316161688
268	M_M13	Muscle progenitor cells (Prdm1+)	Mesoderm	-0.131721525906043
