system	meta_group	celltype_new	sh_w	id
Mesoderm	M_M16	Myotubes	0.0403787707280922	271
Mesoderm	M_M17	Pre-osteoblasts (Sp7+)	0.227826060316771	272
Mesoderm	M_M18	Sclerotome	0.213199982788934	273
Mesoderm	M_M2	Adipocyte progenitor cells	0.0552055848561182	274
Mesoderm	M_M3	Brown adipocyte cells	0.0186811873426554	275
Mesoderm	M_M4	Chondrocytes (Atp1a2+)	0.14391799682279	276
Mesoderm	M_M5	Chondrocytes (Otor+)	0.0731810429543494	277
Mesoderm	M_M6	Dermatome	0.171476347617675	278
Mesoderm	M_M7	Dermomyotome	0.167724643445085	279
Mesoderm	M_M8	Early chondrocytes	0.217367385409744	280
Mesoderm	M_M9	Facial mesenchyme	0.166692163688615	281
Notochord	No_M1	Notochord	0.283269485903814	282
Notochord	No_M2	Ciliated nodal cells	0.297072222222222	283
