"system"	"x"	"y"	"x_name"	"y_name"	"edge_type"	"x_number"	"y_number"	"x_id"	"y_id"
"Eye"	"Ey_M10"	"Ey_M16"	"Naive retinal progenitor cells"	"Retinal progenitor cells"	"Developmental progression"	92	98	163	218
"Eye"	"Ey_M7"	"Ey_M16"	"Eye field"	"Retinal progenitor cells"	"Developmental progression"	106	98	90	218
"Eye"	"Ey_M16"	"Ey_M2"	"Retinal progenitor cells"	"Amacrine/Horizontal precursor cells"	"Developmental progression"	98	101	218	17
"Eye"	"Ey_M16"	"Ey_M3"	"Retinal progenitor cells"	"Bipolar precursor cells"	"Developmental progression"	98	102	218	33
"Eye"	"Ey_M7"	"Ey_M11"	"Eye field"	"Optic stalk"	"Developmental progression"	106	93	90	182
"Eye"	"Ey_M7"	"Ey_M5"	"Eye field"	"Ciliary margin cells"	"Developmental progression"	106	104	90	52
"Eye"	"Ey_M11"	"Ey_M18"	"Optic stalk"	"Suprachiasmatic nucleus"	"Developmental progression"	93	100	182	244
"Eye"	"Ey_M12"	"Ey_M6"	"Photoreceptor precursor cells"	"Cone precursor cells"	"Developmental progression"	94	105	196	58
"Eye"	"Ey_M10"	"Ey_M5"	"Naive retinal progenitor cells"	"Ciliary margin cells"	"Developmental progression"	92	104	163	52
"Eye"	"Ey_M12"	"Ey_M17"	"Photoreceptor precursor cells"	"Rod precursor cells"	"Developmental progression"	94	99	196	219
"Eye"	"Ey_M2"	"Ey_M1"	"Amacrine/Horizontal precursor cells"	"Amacrine cells"	"Developmental progression"	101	91	17	16
"Eye"	"Ey_M16"	"Ey_M12"	"Retinal progenitor cells"	"Photoreceptor precursor cells"	"Developmental progression"	98	94	218	196
"Eye"	"Ey_M5"	"Ey_M9"	"Ciliary margin cells"	"Iris pigment epithelium"	"Developmental progression"	104	108	52	126
"Eye"	"Ey_M16"	"Ey_M14"	"Retinal progenitor cells"	"Retinal ganglion cells"	"Developmental progression"	98	96	218	216
"Eye"	"Ey_M7"	"Ey_M15"	"Eye field"	"Retinal pigment cells"	"Developmental progression"	106	97	90	217
"Eye"	"Ey_M2"	"Ey_M8"	"Amacrine/Horizontal precursor cells"	"Horizontal cells"	"Developmental progression"	101	107	17	116
"Eye"	"Ey_M16"	"Ey_M6"	"Retinal progenitor cells"	"Cone precursor cells"	"Developmental progression"	98	105	218	58
"Eye"	"Ey_M1"	"Ey_M4"	"Amacrine cells"	"Cholinergic amacrine cells"	"Developmental progression"	91	103	16	48
"Eye"	"Ey_M14"	"Ey_M13"	"Retinal ganglion cells"	"PV-containing retinal ganglion cells"	"Developmental progression"	96	95	216	187
