"system","x","y","x_name","y_name","edge_type","x_number.x","y_number.x","x_id.x","y_id.x","x_number.y","y_number.y","x_id.y","y_id.y","n_x","median_x","sh_x","q90_x","frac>0_x","variance_x","std_x","n_y","median_y","sh_y","q90_y","frac>0_y","variance_y","std_y","abs_delta","delta","cohens_d","pct_change","abs_pct_change","system_name"
"Gastrulation","Ga_M15","Ga_M24","Definitive ectoderm","Hindbrain","Developmental progression",31,40,68,115,6516,1075,"Ga_M15","Ga_M24",6516,0,0.0031198247049996,0,0.0334561080417434,0.0004280646843962,0.0206897241256687,1075,0,0.0103043927648578,0,0.0911627906976744,0.0015086130430807,0.0388408682070928,0.0071845680598582,0.0071845680598582,0.2309,230.287555847116,230.287555847116,"Gastrulation"
"Gastrulation","Ga_M7","Ga_M23","Allantois","Hematoendothelial progenitors","Developmental progression",23,39,13,110,2804,2598,"Ga_M7","Ga_M23",2804,0,0.0045471152322079,0,0.0542082738944365,0.0005838386244891,0.0241627528334251,2598,0,0.0010999914464117,0,0.0161662817551963,0.0001422151864686,0.0119254008934142,0.0034471237857961,-0.0034471237857961,-0.1809,-75.8090263774194,75.8090263774194,"Gastrulation"
"Gastrulation","Ga_M28","Ga_M23","Nascent mesoderm","Hematoendothelial progenitors","Developmental progression",44,39,164,110,5501,2598,"Ga_M28","Ga_M23",5501,0,0.0032225857924821,0,0.0461734230139974,0.0003400304824716,0.0184399154681253,2598,0,0.0010999914464117,0,0.0161662817551963,0.0001422151864686,0.0119254008934142,0.0021225943460704,-0.0021225943460704,-0.1367,-65.8661858133338,65.8661858133338,"Gastrulation"
"Gastrulation","Ga_M15","Ga_M34","Definitive ectoderm","Primordial germ cells","Developmental progression",31,50,68,210,6516,380,"Ga_M15","Ga_M34",6516,0,0.0031198247049996,0,0.0334561080417434,0.0004280646843962,0.0206897241256687,380,0,0.002028947368421,0,0.0236842105263157,0.0002720440798688,0.0164937588156514,0.0010908773365786,-0.0010908773365786,-0.0583,-34.9659817370645,34.9659817370645,"Gastrulation"
"Gastrulation","Ga_M15","Ga_M29","Definitive ectoderm","Neural crest","Developmental progression",31,45,68,167,6516,721,"Ga_M15","Ga_M29",6516,0,0.0031198247049996,0,0.0334561080417434,0.0004280646843962,0.0206897241256687,721,0,0.0002769301895515,0,0.0083217753120665,1.23883094657816e-05,0.0035197030365901,0.0028428945154481,-0.0028428945154481,-0.1916,-91.1235336681655,91.1235336681655,"Gastrulation"
"Gastrulation","Ga_M6","Ga_M34","Primitive streak","Primordial germ cells","Developmental progression",22,50,209,210,7573,380,"Ga_M6","Ga_M34",7573,0,0.0005834176973751,0,0.0079228839297504,6.9651354907512e-05,0.0083457387274891,380,0,0.002028947368421,0,0.0236842105263157,0.0002720440798688,0.0164937588156514,0.0014455296710458,0.0014455296710458,0.1106,247.769253066778,247.769253066778,"Gastrulation"
"Gastrulation","Ga_M26","Ga_M22","Lateral plate mesoderm","Gut mesenchyme","Developmental progression",42,38,128,109,2580,1065,"Ga_M26","Ga_M22",2580,0,0.0180307924203273,0.0815666666666667,0.163178294573643,0.0023549534313269,0.048527862422808,1065,0.0228888888888888,0.0743738132498696,0.215844444444444,0.536150234741784,0.007867894605079,0.0887011533469494,0.0563430208295422,0.0563430208295422,0.7881,312.482222168023,312.482222168023,"Gastrulation"
"Gastrulation","Ga_M10","Ga_M30","Anterior primitive streak","Notochord","Developmental progression",26,46,22,174,893,952,"Ga_M10","Ga_M30",893,0,0.0011593878312803,0,0.0145576707726763,0.0001357495905676,0.0116511626272934,952,0,0.0314645191409897,0.158433333333333,0.233193277310924,0.0043524829344597,0.0659733501836897,0.0303051313097094,0.0303051313097094,0.6397,2613.89075269515,2613.89075269515,"Gastrulation"
"Gastrulation","Ga_M6","Ga_M10","Primitive streak","Anterior primitive streak","Developmental progression",22,26,209,22,7573,893,"Ga_M6","Ga_M10",7573,0,0.0005834176973751,0,0.0079228839297504,6.9651354907512e-05,0.0083457387274891,893,0,0.0011593878312803,0,0.0145576707726763,0.0001357495905676,0.0116511626272934,0.0005759701339051,0.0005759701339051,0.0568,98.7234594522013,98.7234594522013,"Gastrulation"
"Gastrulation","Ga_M28","Ga_M13","Nascent mesoderm","Cardiopharyngeal mesoderm","Developmental progression",44,29,164,45,5501,2214,"Ga_M28","Ga_M13",5501,0,0.0032225857924821,0,0.0461734230139974,0.0003400304824716,0.0184399154681253,2214,0,0.0099859480076282,0.0101999999999999,0.105691056910569,0.0012668771545747,0.0355932178170884,0.006763362215146,0.006763362215146,0.2386,209.873767547911,209.873767547911,"Gastrulation"
