system	x	y	x_name	y_name	edge_type	abs_delta	delta	sh_x	sh_y	x_id	y_id
Eye	Ey_M7	Ey_M10	Eye field	Naive retinal progenitor cells	Developmental progression	0.049097	0.049097	0.0837496419071004	0.132846308913054	106	92
Eye	Ey_M10	Ey_M16	Naive retinal progenitor cells	Retinal progenitor cells	Developmental progression	0.086175	-0.086175	0.132846308913054	0.0466714374407737	92	98
Eye	Ey_M7	Ey_M16	Eye field	Retinal progenitor cells	Developmental progression	0.037078	-0.037078	0.0837496419071004	0.0466714374407737	106	98
Eye	Ey_M16	Ey_M2	Retinal progenitor cells	Amacrine/Horizontal precursor cells	Developmental progression	0.02797	-0.02797	0.0466714374407737	0.018701741904885	98	101
Eye	Ey_M16	Ey_M3	Retinal progenitor cells	Bipolar precursor cells	Developmental progression	0.021899	-0.021899	0.0466714374407737	0.0247726680986786	98	102
Eye	Ey_M7	Ey_M11	Eye field	Optic stalk	Developmental progression	0.016477	0.016477	0.0837496419071004	0.100226464821779	106	93
Eye	Ey_M7	Ey_M5	Eye field	Ciliary margin cells	Developmental progression	0.0385	-0.0385	0.0837496419071004	0.0452493486590038	106	104
Eye	Ey_M11	Ey_M18	Optic stalk	Suprachiasmatic nucleus	Developmental progression	0.015516	-0.015516	0.100226464821779	0.0847104315550385	93	100
Eye	Ey_M12	Ey_M6	Photoreceptor precursor cells	Cone precursor cells	Developmental progression	0.001608	0.001608	0.0217245729676093	0.0233325595790776	94	105
Eye	Ey_M10	Ey_M5	Naive retinal progenitor cells	Ciliary margin cells	Developmental progression	0.087597	-0.087597	0.132846308913054	0.0452493486590038	92	104
Eye	Ey_M12	Ey_M17	Photoreceptor precursor cells	Rod precursor cells	Developmental progression	0.001467	-0.001467	0.0217245729676093	0.0202575444565965	94	99
Eye	Ey_M2	Ey_M1	Amacrine/Horizontal precursor cells	Amacrine cells	Developmental progression	0.00445	-0.00445	0.018701741904885	0.0142520734629868	101	91
Eye	Ey_M16	Ey_M12	Retinal progenitor cells	Photoreceptor precursor cells	Developmental progression	0.024947	-0.024947	0.0466714374407737	0.0217245729676093	98	94
Eye	Ey_M5	Ey_M9	Ciliary margin cells	Iris pigment epithelium	Developmental progression	0.002216	-0.002216	0.0452493486590038	0.0430335960960961	104	108
Eye	Ey_M16	Ey_M14	Retinal progenitor cells	Retinal ganglion cells	Developmental progression	0.033148	-0.033148	0.0466714374407737	0.0135238307880086	98	96
Eye	Ey_M7	Ey_M15	Eye field	Retinal pigment cells	Developmental progression	0.020342	-0.020342	0.0837496419071004	0.063407190348893	106	97
Eye	Ey_M2	Ey_M8	Amacrine/Horizontal precursor cells	Horizontal cells	Developmental progression	0.002771	0.002771	0.018701741904885	0.0214731379731379	101	107
Eye	Ey_M16	Ey_M6	Retinal progenitor cells	Cone precursor cells	Developmental progression	0.023339	-0.023339	0.0466714374407737	0.0233325595790776	98	105
Eye	Ey_M1	Ey_M4	Amacrine cells	Cholinergic amacrine cells	Developmental progression	0.01217	0.01217	0.0142520734629868	0.0264220040517375	91	103
Eye	Ey_M14	Ey_M13	Retinal ganglion cells	PV-containing retinal ganglion cells	Developmental progression	0.000195	0.000195	0.0135238307880086	0.0137190350102971	96	95
Renal	R_M10	R_M7	Posterior intermediate mesoderm	Metanephric mesenchyme	Developmental progression	0.011077	-0.011077	0.0642664255765199	0.053189821865728	140	150
Renal	R_M8	R_M11	Nephron progenitors	Proximal tubule cells	Developmental progression	0.018253	-0.018253	0.0366297830374753	0.0183765264026402	151	141
Renal	R_M7	R_M8	Metanephric mesenchyme	Nephron progenitors	Developmental progression	0.01656	-0.01656	0.053189821865728	0.0366297830374753	150	151
Renal	R_M1	R_M10	Anterior intermediate mesoderm	Posterior intermediate mesoderm	Developmental progression	0.030249	0.030249	0.0340170787662503	0.0642664255765199	139	140
Renal	R_M8	R_M9	Nephron progenitors	Podocytes	Developmental progression	0.009747	0.009747	0.0366297830374753	0.0463763749402199	151	152
Renal	R_M10	R_M12	Posterior intermediate mesoderm	Renal pericytes and mesangial cells	Developmental progression	0.050569	0.050569	0.0642664255765199	0.114835511982571	140	142
Renal	R_M8	R_M2	Nephron progenitors	Ascending loop of Henle	Developmental progression	0.018418	-0.018418	0.0366297830374753	0.0182113748198896	151	145
Renal	R_M1	R_M13	Anterior intermediate mesoderm	Ureteric bud	Developmental progression	0.003113	0.003113	0.0340170787662503	0.0371302341480088	139	143
Renal	R_M13	R_M4	Ureteric bud	Collecting duct principal cells	Developmental progression	0.006752	-0.006752	0.0371302341480088	0.0303777777777777	143	147
Renal	R_M8	R_M6	Nephron progenitors	Distal convoluted tubule	Developmental progression	0.025531	-0.025531	0.0366297830374753	0.011098938098938	151	149
Renal	R_M1	R_M8	Anterior intermediate mesoderm	Nephron progenitors	Developmental progression	0.002613	0.002613	0.0340170787662503	0.0366297830374753	139	151
Renal	R_M13	R_M14	Ureteric bud	Ureteric bud stalk	Developmental progression	0.024031	0.024031	0.0371302341480088	0.0611612635078969	143	144
Renal	R_M8	R_M5	Nephron progenitors	Connecting tubule	Developmental progression	0.020811	-0.020811	0.0366297830374753	0.0158192224195776	151	148
Renal	R_M4	R_M3	Collecting duct principal cells	Collecting duct intercalated cells	Developmental progression	0.024669	0.024669	0.0303777777777777	0.0550468509984639	147	146
Renal	R_M5	R_M3	Connecting tubule	Collecting duct intercalated cells	Developmental progression	0.039228	0.039228	0.0158192224195776	0.0550468509984639	148	146
Gut	G_M8	G_M14	Gut	Midgut/Hindgut epithelial cells	Developmental progression	0.147284	-0.147284	0.163179081651295	0.0158948908160066	123	114
Gut	G_M13	G_M4	Lung progenitor cells	Alveolar Type 2 cells	Developmental progression	0.078419	-0.078419	0.100682995262407	0.0222638260608227	113	119
Gut	G_M13	G_M3	Lung progenitor cells	Alveolar Type 1 cells	Developmental progression	0.059247	-0.059247	0.100682995262407	0.0414359875551831	113	118
Gut	G_M8	G_M9	Gut	Hepatocytes	Developmental progression	0.135674	-0.135674	0.163179081651295	0.0275054040084861	123	124
Gut	G_M13	G_M1	Lung progenitor cells	Airway club cells	Developmental progression	0.07033	-0.07033	0.100682995262407	0.0303532531573719	113	109
Gut	G_M8	G_M13	Gut	Lung progenitor cells	Developmental progression	0.062496	-0.062496	0.163179081651295	0.100682995262407	123	113
Gut	G_M8	G_M7	Gut	Foregut epithelial cells	Developmental progression	0.133942	-0.133942	0.163179081651295	0.0292375594497111	123	122
Gut	G_M14	G_M11	Midgut/Hindgut epithelial cells	Intestinal goblet cells	Developmental progression	0.001927	-0.001927	0.0158948908160066	0.0139682903533906	114	111
Gut	G_M9	G_M5	Hepatocytes	Biliary epithelial cells	Developmental progression	0.007106	0.007106	0.0275054040084861	0.0346118127312157	124	120
Gut	G_M3	G_M12	Alveolar Type 1 cells	Lung cells (Eln+)	Developmental progression	0.028276	0.028276	0.0414359875551831	0.0697115465126015	118	112
Gut	G_M1	G_M2	Airway club cells	Airway goblet cells	Developmental progression	0.009955	-0.009955	0.0303532531573719	0.0203981481481481	109	117
