system	meta_group	total_cells_node	node_age_mean	node_age_weighted	n_celltypes_in_node
Lateral_plate_mesoderm	L_M15	245	34.84897959183674	34.52898647906086	1
Lateral_plate_mesoderm	L_M16	222702	14.344253756140496	14.654745719678871	1
Lateral_plate_mesoderm	L_M17	60258	32.032360848352084	31.294535269078345	1
Lateral_plate_mesoderm	L_M18	5063	24.542958720126407	24.51889069349356	1
Lateral_plate_mesoderm	L_M19	37131	26.27898521451079	25.322930727149405	1
Lateral_plate_mesoderm	L_M2	4926	36.18229801055623	37.27340487941188	1
Lateral_plate_mesoderm	L_M20	9451	13.22304518040419	13.724375238516023	1
Lateral_plate_mesoderm	L_M21	12270	35.42053789731052	35.21615256313576	1
Lateral_plate_mesoderm	L_M22	3537	6.107152954481199	5.953799803104094	1
Lateral_plate_mesoderm	L_M23	1220	32.34508196721311	31.474682262202574	1
Lateral_plate_mesoderm	L_M24	126739	7.982696723187019	7.979944291874459	1
Lateral_plate_mesoderm	L_M25	123694	13.624104645334452	13.275773400075105	1
Lateral_plate_mesoderm	L_M26	15949	33.31976926453069	32.93732906304407	1
Lateral_plate_mesoderm	L_M27	7384	37.691495124593715	38.69506664699234	1
Lateral_plate_mesoderm	L_M28	2215	37.02483069977426	36.889704701059074	1
Lateral_plate_mesoderm	L_M3	31010	7.087294421154467	6.712301265585035	1
Lateral_plate_mesoderm	L_M4	25231	10.972375252665373	10.92575866445517	1
Lateral_plate_mesoderm	L_M5	1005	30.97313432835821	31.794130647963215	1
Lateral_plate_mesoderm	L_M6	19277	7.512320381802148	7.348912471816769	1
Lateral_plate_mesoderm	L_M7	57523	5.6804408671314075	5.66356221873773	1
Lateral_plate_mesoderm	L_M8	28638	7.737237237237238	7.707005624882624	1
Lateral_plate_mesoderm	L_M9	17976	10.387572318647086	10.04227776833542	1
Mesoderm	M_M1	4767	41.8246276484162	41.50405576568115	1
Mesoderm	M_M10	473634	29.335898605252147	29.33469585879672	1
Mesoderm	M_M11	50325	5.8683755588673625	5.729460343495729	1
Mesoderm	M_M12	26992	14.867997925311206	14.589976922365002	1
Mesoderm	M_M13	5017	10.228224038269882	9.445265893202125	1
Mesoderm	M_M14	149216	28.45436146257774	27.66158466939141	1
Mesoderm	M_M15	39998	28.426821341067058	28.542951272822055	1
Mesoderm	M_M16	22340	32.48491495076097	32.88504503328093	1
Mesoderm	M_M17	86242	36.04897845597273	35.67642090980682	1
Mesoderm	M_M18	475696	11.561448908546623	11.56147442497996	1
Mesoderm	M_M2	19151	34.963605033679706	34.58405692652449	1
Mesoderm	M_M3	42631	41.015528605944034	43.015528605944034	1
Mesoderm	M_M4	97338	23.033676467566615	22.25754942636362	1
Mesoderm	M_M5	6521	35.58503297040331	35.687872130210415	1
Mesoderm	M_M6	159301	26.882593329608735	25.949338494930416	1
Mesoderm	M_M7	131041	8.742912523561326	8.205510758535159	1
Mesoderm	M_M8	130217	24.171982152867898	24.245066490289187	1
Mesoderm	M_M9	378403	12.041289313245407	11.63004606961073	1
Notochord	No_M1	3745	6.436048064085448	5.981110453932646	1
Notochord	No_M2	60	0.6666666666666666	0.4849904598975228	1
PNS_glia	PG_M1	2274	27.273526824978013	27.83810461193853	1
PNS_glia	PG_M2	28658	25.13629702002931	24.998462882869923	1
PNS_glia	PG_M3	5617	25.415168239273633	25.92035621509448	1
PNS_glia	PG_M4	69628	9.652682828747055	8.992216444655273	1
PNS_glia	PG_M5	1991	34.24510296333501	35.47856296344024	1
PNS_glia	PG_M6	4304	31.672165427509295	32.27172019731232	1
PNS_neurons	PN_M1	1413	34.89101203113942	34.09861469721295	1
PNS_neurons	PN_M2	9289	28.69404672192916	28.80024949484362	1
PNS_neurons	PN_M3	4640	11.76271551724138	11.614483517404102	1
PNS_neurons	PN_M4	50974	13.877251147643896	14.136196248171304	1
PNS_neurons	PN_M5	20964	29.828038542262927	30.783375483513293	1
PNS_neurons	PN_M6	7640	14.053403141361256	13.61523017845056	1
PNS_neurons	PN_M7	5261	32.08154343280745	32.3994158187241	1
PNS_neurons	PN_M8	12782	28.83304647160069	28.8884604709632	1
Renal	R_M1	7833	7.677390527256479	8.043300667901498	1
Renal	R_M10	10584	8.829837490551776	8.820635702904779	1
Renal	R_M11	7609	38.58259955316073	38.6682047842604	1
Renal	R_M12	7231	10.531185174941225	10.341360996964085	1
Renal	R_M13	3705	28.373009446693658	28.04721722514033	1
Renal	R_M14	253	29.08300395256917	27.99284787263915	1
Renal	R_M2	1728	39.9369212962963	39.122846375547596	1
Renal	R_M3	182	39.96703296703296	41.46781860516072	1
Renal	R_M4	840	38.62380952380953	38.09526036135436	1
Renal	R_M5	254	39.346456692913385	39.43118733972782	1
Renal	R_M6	639	39.90297339593114	39.56052986245229	1
Renal	R_M7	16036	33.3190321776004	33.23132531865703	1
Renal	R_M8	11348	35.73528375044061	35.8766915782678	1
Renal	R_M9	2396	38.69198664440734	38.786561311776474	1
