system	meta_group	total_cells_node	node_age_mean	node_age_weighted	n_celltypes_in_node	delta_input	delta_output	delta_delta
Lateral_plate_mesoderm	L_M11	4229	15.92504138094112	15.911256511969723	1	-0.11662	0.057832	-0.174452
Lateral_plate_mesoderm	L_M12	76	38.63157894736842	38.30346045146648	1	-0.003283	0	-0.003283
Lateral_plate_mesoderm	L_M13	56937	16.55085445316754	17.082057703618695	1	0.229282654419906	-0.128223	0.357505654419906
Lateral_plate_mesoderm	L_M14	24510	19.773684210526312	19.5220360259506	1	-0.010368	0	-0.010368
Lateral_plate_mesoderm	L_M15	245	34.84897959183674	34.52898647906086	1	0.032353	0	0.032353
Lateral_plate_mesoderm	L_M16	222702	14.344253756140496	14.654745719678871	1	0.012549000000000001	0	0.012549000000000001
Lateral_plate_mesoderm	L_M17	60258	32.032360848352084	31.294535269078345	1	0.124857	0	0.124857
Lateral_plate_mesoderm	L_M18	5063	24.542958720126407	24.51889069349356	1	-0.001149	0	-0.001149
Lateral_plate_mesoderm	L_M19	37131	26.27898521451079	25.322930727149405	1	0.014925	0	0.014925
Lateral_plate_mesoderm	L_M2	4926	36.18229801055623	37.27340487941188	1	0.028771	0	0.028771
Lateral_plate_mesoderm	L_M20	9451	13.22304518040419	13.724375238516023	1	-0.14183700000000002	0	-0.14183700000000002
Lateral_plate_mesoderm	L_M21	12270	35.42053789731052	35.21615256313576	1	-0.028208	0	-0.028208
Lateral_plate_mesoderm	L_M22	3537	6.107152954481199	5.953799803104094	1	0.1820474008321872	-0.063567	0.24561440083218722
Lateral_plate_mesoderm	L_M23	1220	32.34508196721311	31.474682262202577	1	0.030189	0	0.030189
Lateral_plate_mesoderm	L_M24	126739	7.982696723187019	7.979944291874459	1	0.0245940470379204	0.112564	-0.0879699529620796
Lateral_plate_mesoderm	L_M25	123694	13.624104645334452	13.275773400075105	1	0.132686949353772	-0.332813	0.46549994935377204
Lateral_plate_mesoderm	L_M26	15949	33.31976926453069	32.93732906304407	1	-0.117964	0.01239	-0.130354
Lateral_plate_mesoderm	L_M27	7384	37.691495124593715	38.69506664699234	1	-0.015232	0	-0.015232
Lateral_plate_mesoderm	L_M28	2215	37.02483069977426	36.889704701059074	1	-0.022723	0	-0.022723
Lateral_plate_mesoderm	L_M3	31010	7.087294421154467	6.712301265585035	1	0	0	0
Lateral_plate_mesoderm	L_M4	25231	10.972375252665373	10.92575866445517	1	0	0	0
Lateral_plate_mesoderm	L_M5	1005	30.97313432835821	31.794130647963215	1	-0.085269	0	-0.085269
Lateral_plate_mesoderm	L_M6	19277	7.512320381802148	7.348912471816769	1	0	0	0
Lateral_plate_mesoderm	L_M7	57523	5.6804408671314075	5.66356221873773	1	0.0632803158499148	-0.016065	0.07934531584991479
Lateral_plate_mesoderm	L_M8	28638	7.737237237237238	7.707005624882624	1	-0.0516419352617536	-0.044425	-0.007216935261753599
Lateral_plate_mesoderm	L_M9	17976	10.387572318647086	10.04227776833542	1	0.097685	0	0.097685
Mesoderm	M_M1	4767	41.8246276484162	41.50405576568115	1	-0.026046	0	-0.026046
Mesoderm	M_M10	473634	29.335898605252147	29.33469585879672	1	-0.108249	0.07313	-0.181379
Mesoderm	M_M11	50325	5.8683755588673625	5.729460343495729	1	0.196739995127424	-0.07289000000000001	0.269629995127424
Mesoderm	M_M12	26992	14.867997925311206	14.589976922365002	1	0.007751	-0.156226	0.163977
Mesoderm	M_M13	5017	10.228224038269882	9.445265893202125	1	-0.057802	-0.077949	0.020147000000000005
Mesoderm	M_M14	149216	28.45436146257774	27.66158466939141	1	-0.18909700000000002	-0.036673	-0.152424
Mesoderm	M_M15	39998	28.426821341067058	28.542951272822055	1	-0.077949	0	-0.077949
Mesoderm	M_M16	22340	32.48491495076097	32.88504503328093	1	-0.036673	0	-0.036673
Mesoderm	M_M17	86242	36.04897845597273	35.67642090980682	1	0.184009	0	0.184009
Mesoderm	M_M18	475696	11.561448908546623	11.56147442497996	1	0.196667493427993	-0.173364	0.370031493427993
Mesoderm	M_M2	19151	34.963605033679706	34.58405692652449	1	-0.049745	-0.06257	0.012825000000000003
Mesoderm	M_M3	42631	41.015528605944034	43.015528605944034	1	-0.036524	0	-0.036524
Mesoderm	M_M4	97338	23.033676467566615	22.25754942636362	1	-0.069282	-0.070737	0.001454999999999998
Mesoderm	M_M5	6521	35.58503297040331	35.687872130210415	1	-0.070737	0	-0.070737
Mesoderm	M_M6	159301	26.882593329608735	25.949338494930416	1	0.003752	0	0.003752
Mesoderm	M_M7	131041	8.742912523561326	8.205510758535159	1	0.11526315408414399	-0.07917	0.194433154084144
Mesoderm	M_M8	130217	24.171982152867898	24.245066490289187	1	0.054841999999999995	0	0.054841999999999995
Mesoderm	M_M9	378403	12.041289313245407	11.63004606961073	1	0.279613907826736	0.11180899999999999	0.16780490782673602
Notochord	No_M1	3745	6.436048064085448	5.981110453932646	1	0.251804966762825	0.013803	0.23800196676282498
Notochord	No_M2	60	0.6666666666666666	0.4849904598975228	1	0.013803	0	0.013803
PNS_glia	PG_M1	2274	27.273526824978013	27.83810461193853	1	-0.041089	0	-0.041089
PNS_glia	PG_M2	28658	25.13629702002931	24.998462882869923	1	-0.032323	0.008145	-0.040468
PNS_glia	PG_M3	5617	25.415168239273633	25.92035621509448	1	-0.012504	0	-0.012504
PNS_glia	PG_M4	69628	9.652682828747055	8.992216444655273	1	0.0584645791099568	-0.10120799999999999	0.1596725791099568
PNS_glia	PG_M5	1991	34.24510296333501	35.47856296344024	1	-0.016033000000000002	0	-0.016033000000000002
PNS_glia	PG_M6	4304	31.672165427509295	32.27172019731232	1	0.008886	0	0.008886
PNS_neurons	PN_M1	1413	34.89101203113942	34.09861469721295	1	-0.026695	0	-0.026695
PNS_neurons	PN_M2	9289	28.69404672192916	28.80024949484362	1	-0.019536	0	-0.019536
PNS_neurons	PN_M3	4640	11.76271551724138	11.614483517404102	1	-0.003435	0	-0.003435
PNS_neurons	PN_M4	50974	13.877251147643896	14.136196248171304	1	0.0323047392457897	-0.055734000000000006	0.0880387392457897
PNS_neurons	PN_M5	20964	29.828038542262927	30.783375483513293	1	-0.015747	-0.005474	-0.010273000000000001
PNS_neurons	PN_M6	7640	14.053403141361256	13.61523017845056	1	0.007039	0	0.007039
PNS_neurons	PN_M7	5261	32.08154343280745	32.3994158187241	1	-0.005392	0	-0.005392
PNS_neurons	PN_M8	12782	28.83304647160069	28.8884604709632	1	0.002558	0	0.002558
