system	x	y	x_name	y_name	edge_type	x_number	y_number	x_id	y_id	n_x	median_x	sh_x	q90_x	frac>0_x	variance_x	std_x	n_y	median_y	sh_y	q90_y	frac>0_y	variance_y	std_y	abs_delta	delta	cohens_d	pct_change	abs_pct_change	system_name
Brain_spinal_cord	BS_M46	BS_M18	Spinal dI6 interneurons	GABAergic neurons (after E13.0)	Developmental progression	248	217	240	100	10964	-0.476502351760864	0.326356064277772	3.10746624183655	0.260488872674207	2.58295484064463	1.6071573789286	292004	-0.588472533226013	-0.0922782792897716	2.46941485595703	0.196254160901905	1.94874350310719	1.39597403382269	0.418634	-0.418634	-0.2781	-128.28	128.28	Brain_spinal_cord
Brain_spinal_cord	BS_M50	BS_M18	Spinal V2b interneurons	GABAergic neurons (after E13.0)	Developmental progression	253	217	228	100	8575	-0.471033611297607	0.321952956546083	3.22638844108582	0.243965014577259	2.65087308591622	1.62815020373312	292004	-0.588472533226013	-0.0922782792897716	2.46941485595703	0.196254160901905	1.94874350310719	1.39597403382269	0.414231	-0.414231	-0.2731	-128.66	128.66	Brain_spinal_cord
Brain_spinal_cord	BS_M34	BS_M32	Floorplate and p3 domain	Neurons (Slc17a8+)	Developmental progression	235	233	95	172	44992	1.36006622314453	1.14427886183572	3.95146764564514	0.679809743954481	3.84498524287439	1.9608633922011	1957	-0.37613160610199	0.730495973325348	3.39015408325195	0.349003576903424	3.21679051737937	1.79354133417086	0.413783	-0.413783	-0.2202	-36.16	36.16	Brain_spinal_cord
Brain_spinal_cord	BS_M43	BS_M19	Spinal dI3 interneurons	Glutamatergic neurons (after E13.0)	Developmental progression	245	218	237	103	5430	-0.473856401443481	0.269929236177581	3.03161873197556	0.243462246777164	2.40484557904146	1.55075645381261	570526	-0.568314571380615	-0.143774781586842	2.35049537420273	0.175783399880111	1.78316934030527	1.33535363866852	0.413704	-0.413704	-0.2859	-153.26	153.26	Brain_spinal_cord
Brain_spinal_cord	BS_M34	BS_M10	Floorplate and p3 domain	Cranial motor neurons	Developmental progression	235	209	95	65	44992	1.36006622314453	1.14427886183572	3.95146764564514	0.679809743954481	3.84498524287439	1.9608633922011	23754	-0.38968864440918	0.741975281002887	3.46845975923538	0.380567483371222	3.91069800556143	1.97754848374482	0.402304	-0.402304	-0.2043	-35.16	35.16	Brain_spinal_cord
Brain_spinal_cord	BS_M40	BS_M3	Spinal cord/r7/r8	Astrocytes	Developmental progression	242	230	234	27	395636	0.961362841924032	0.835499220278825	3.27359512646993	0.535492220121526	3.71460594600617	1.92733130156861	109750	0.57387865225474	0.445883106371793	2.57251387755076	0.607234624145786	2.7416200460182	1.65578381620856	0.389616	-0.389616	-0.2169	-46.63	46.63	Brain_spinal_cord
Brain_spinal_cord	BS_M14	BS_M23	Diencephalon	Hypothalamus (Sim1+)	Developmental progression	213	223	76	120	78021	0.631101312637329	0.613955905178692	3.54901728947957	0.524461362966381	3.78469125353474	1.9454282956549	14611	1.2230110613505	0.974768751388871	3.47086548487345	0.660119088358086	3.43692666944733	1.8538949995745	0.360813	0.360813	0.1899	58.77	58.77	Brain_spinal_cord
Brain_spinal_cord	BS_M42	BS_M47	Spinal dI2 interneurons	Spinal V0 interneurons	Developmental progression	244	249	236	225	21843	-0.516540222167969	0.0847611303171853	2.95376772880554	0.193700499015703	2.13192276929755	1.46011053324656	9397	-0.469279403686523	0.424761283978942	3.17655415916443	0.290092582739172	2.81922767867779	1.67905559130059	0.34	0.34	0.2161	401.13	401.13	Brain_spinal_cord
Brain_spinal_cord	BS_M40	BS_M38	Spinal cord/r7/r8	Spinal cord motor neurons	Developmental progression	242	239	234	232	395636	0.961362841924032	0.835499220278825	3.27359512646993	0.535492220121526	3.71460594600617	1.92733130156861	31680	-0.511346848011017	0.504042346694253	3.16043895101547	0.330239898989899	3.29152806352001	1.81425689016743	0.331457	-0.331457	-0.1771	-39.67	39.67	Brain_spinal_cord
Brain_spinal_cord	BS_M54	BS_M17	Telencephalon	GABAergic cortical interneurons	Developmental progression	257	216	249	99	430409	-0.959811356862386	-0.251393378014101	2.01397010040283	0.299378033451903	2.86576200872556	1.69285616894217	603448	-0.432261009216309	0.0748155118136196	2.94567287158966	0.175653908870358	2.07080965799855	1.4390308050902	0.326209	0.326209	0.2076	-129.76	129.76	Brain_spinal_cord
