id	meta_group	celltype_new	system	sh
241	BS_M4	Cajal-Retzius cells	Brain_spinal_cord	-1.30674285647662
242	BS_M40	Spinal cord/r7/r8	Brain_spinal_cord	0.835499220278825
243	BS_M41	Spinal dI1 interneurons	Brain_spinal_cord	0.0203487611228183
244	BS_M42	Spinal dI2 interneurons	Brain_spinal_cord	0.0847611303171853
245	BS_M43	Spinal dI3 interneurons	Brain_spinal_cord	0.269929236177581
246	BS_M44	Spinal dI4 interneurons	Brain_spinal_cord	0.128656292402564
247	BS_M45	Spinal dI5 interneurons	Brain_spinal_cord	0.281339034822533
248	BS_M46	Spinal dI6 interneurons	Brain_spinal_cord	0.326356064277772
249	BS_M47	Spinal V0 interneurons	Brain_spinal_cord	0.424761283978942
250	BS_M48	Spinal V1 interneurons	Brain_spinal_cord	0.812117820330876
251	BS_M49	Spinal V2a interneurons	Brain_spinal_cord	0.534915596459066
252	BS_M5	Cerebellar Purkinje cells	Brain_spinal_cord	-1.32711894525939
253	BS_M50	Spinal V2b interneurons	Brain_spinal_cord	0.321952956546083
254	BS_M51	Spinal V3 interneurons	Brain_spinal_cord	0.961381350532309
255	BS_M52	Striatal projection neurons	Brain_spinal_cord	-0.331380945259223
256	BS_M53	Subplate neurons	Brain_spinal_cord	-0.429595246326532
257	BS_M54	Telencephalon	Brain_spinal_cord	-0.251393378014101
258	BS_M55	Thalamic neuronal precursors	Brain_spinal_cord	-1.50732687448764
259	BS_M56	Upper-layer neurons	Brain_spinal_cord	-0.383886437395891
260	BS_M6	Cerebellum-related cells	Brain_spinal_cord	0.518094914714719
261	BS_M7	Choroid plexus	Brain_spinal_cord	-0.591143711023284
262	BS_M8	Committed oligodendrocyte precursors	Brain_spinal_cord	-0.726803050188639
263	BS_M9	Cortical Interneurons (Prox1+)	Brain_spinal_cord	-0.427160668356698
264	M_M1	Adipocyte cells (Cyp2e1+)	Mesoderm	-0.981484551799693
265	M_M10	Fibroblasts	Mesoderm	-0.709599386095402
266	M_M11	Mesodermal progenitors (Tbx6+)	Mesoderm	0.643629734848738
267	M_M12	Muscle progenitor cells	Mesoderm	0.0665861303729735
268	M_M13	Muscle progenitor cells (Prdm1+)	Mesoderm	-0.609166162566373
