system,x,y,x_name,y_name,edge_type,x_number,y_number,x_id,y_id,n_x,sh_x,median_x,q90_x,frac>0_x,variance_x,std_x,n_y,sh_y,median_y,q90_y,frac>0_y,variance_y,std_y,abs_delta,delta,cohens_d,pct_change,abs_pct_change
Brain_spinal_cord,BS_M2,BS_M7,Anterior roof plate,Choroid plexus,Developmental progression,219,261,23,51,16098,-0.2059160094821103,-0.295965830485026,0.2089224611918133,0.1783451360417443,0.069927041163656,0.264437215920256,9441,-0.1264288450659944,-0.2324051666259765,0.29756294409434,0.2617307488613494,0.0776908782619834,0.2787308347886602,0.079487,0.079487,0.2926,-38.6,38.6
Brain_spinal_cord,BS_M25,BS_M13,Midbrain,Di/mesencephalon glutamatergic neurons,Developmental progression,225,212,147,75,145124,-0.07517710412365,-0.2531643931070964,0.5136334733963012,0.280918387034536,0.1708166081344406,0.4132996590059574,30999,-0.0005864013707941,-0.0750349426269531,0.3506564737955729,0.1630697764444014,0.0421455952616108,0.2052939240737796,0.074591,0.074591,0.2286,-99.22,99.22
Brain_spinal_cord,BS_M54,BS_M15,Telencephalon,Dorsal telencephalon,Developmental progression,257,214,249,79,430409,-0.1001094938961106,-0.2848587799072266,0.5164819984436037,0.2724199540437119,0.1868956151073665,0.4323142550360403,30144,-0.1746025502721806,-0.2793508656819661,0.2816248394648235,0.2105228237791932,0.0797875907806804,0.2824669729024625,0.074493,-0.074493,-0.204,74.41,74.41
Brain_spinal_cord,BS_M40,BS_M51,Spinal cord/r7/r8,Spinal V3 interneurons,Developmental progression,242,254,234,229,395636,0.1366890906933909,0.0402177397410075,0.7779166746139526,0.5118897168104015,0.2382131561914407,0.4880708516101332,4440,0.2054792897547329,-0.0305607811609903,0.7279933862686158,0.4806306306306306,0.1221105366157734,0.3494431808116642,0.06879,0.06879,0.1621,50.33,50.33
Brain_spinal_cord,BS_M40,BS_M3,Spinal cord/r7/r8,Astrocytes,Developmental progression,242,230,234,27,395636,0.1366890906933909,0.0402177397410075,0.7779166746139526,0.5118897168104015,0.2382131561914407,0.4880708516101332,109750,0.1973013618097942,0.1979304234186808,0.811021277109782,0.5984510250569476,0.2342513997404879,0.4839952476424617,0.060612,0.060612,0.1247,44.34,44.34
Brain_spinal_cord,BS_M12,BS_M18,Di/mesencephalon GABAergic neurons,GABAergic neurons (after E13.0),Developmental progression,211,217,74,100,15589,0.0566666931513323,-0.0671457544962565,0.4874029639561973,0.2548591955866316,0.0666561230534441,0.2581784713206044,292004,-0.0023757197740751,-0.0739524714152018,0.2962472710609436,0.1982027643456939,0.0359394175010712,0.1895769434848848,0.059042,-0.059042,-0.2607,-104.19,104.19
Brain_spinal_cord,BS_M26,BS_M19,Midbrain dopaminergic neurons,Glutamatergic neurons (after E13.0),Developmental progression,226,218,148,103,5495,0.0486489505469889,-0.0654075876871744,0.4728988367716471,0.2373066424021838,0.0589426934228087,0.2427811636490951,570526,-0.009946817087078,-0.0734684944152831,0.2652231001853943,0.1775309100724594,0.0332255507278166,0.1822787720164271,0.058596,-0.058596,-0.273,-120.45,120.45
Brain_spinal_cord,BS_M25,BS_M52,Midbrain,Striatal projection neurons,Developmental progression,225,255,147,242,145124,-0.07517710412365,-0.2531643931070964,0.5136334733963012,0.280918387034536,0.1708166081344406,0.4132996590059574,6235,-0.018424671146456,-0.0873293177286783,0.2971319618225099,0.1714514835605453,0.0374768932855282,0.1935894968368073,0.056752,0.056752,0.1759,-75.49,75.49
Brain_spinal_cord,BS_M42,BS_M47,Spinal dI2 interneurons,Spinal V0 interneurons,Developmental progression,244,249,236,225,21843,0.0192526457188165,-0.0693880462646484,0.4094812593460082,0.1960353431305223,0.0473005585991585,0.2174869159263575,9397,0.0743866723853459,-0.0626823361714681,0.5082305908203124,0.2919016707459828,0.0688308350870231,0.2623563132212052,0.055134,0.055134,0.2288,286.37,286.37
Brain_spinal_cord,BS_M50,BS_M18,Spinal V2b interneurons,GABAergic neurons (after E13.0),Developmental progression,253,217,228,100,8575,0.0509963525922235,-0.067084732055664,0.4800317888259888,0.2460641399416909,0.0621245619588345,0.2492479928882769,292004,-0.0023757197740751,-0.0739524714152018,0.2962472710609436,0.1982027643456939,0.0359394175010712,0.1895769434848848,0.053372,-0.053372,-0.241,-104.66,104.66
