system	celltype_new	total_cells	age_weighted
PNS_neurons	Olfactory sensory neurons	20964	172.96823125357756
PNS_neurons	Parasympathetic neurons	5261	186.4892605968447
PNS_neurons	Corticofugal neurons	1413	203.34607218683652
Renal	Anterior intermediate mesoderm	7833	40.3301417081578
Renal	Posterior intermediate mesoderm	10584	47.175170068027214
Renal	Renal pericytes and mesangial cells	7231	57.21615267597843
Renal	Ureteric bud	3705	164.23805668016195
Renal	Ureteric bud stalk	253	168.498023715415
Renal	Metanephric mesenchyme	16036	193.9141930656024
Renal	Nephron progenitors	11348	208.41170250264364
Renal	Proximal tubule cells	7609	225.4955973189644
Renal	Collecting duct principal cells	840	225.74285714285713
Renal	Podocytes	2396	226.15191986644408
Renal	Connecting tubule	254	230.07874015748033
Renal	Distal convoluted tubule	639	233.41784037558685
Renal	Ascending loop of Henle	1728	233.62152777777777
Renal	Collecting duct intercalated cells	182	233.8021978021978
