system	celltype_new	total_cells	age_mean	age_weighted
Mesoderm	Brown adipocyte cells	42631	240.0931716356642	240.0931716356642
Mesoderm	Adipocyte cells (Cyp2e1+)	4767	244.94776589049718	244.94776589049718
Notochord	Ciliated nodal cells	60	4	3.9999999999999996
Notochord	Notochord	3745	33.848331108144194	33.848331108144194
PNS_glia	Neural crest (PNS glia)	69628	52.239759866720284	52.239759866720284
PNS_glia	Myelinating Schwann cells	28658	144.81778212017588	144.81778212017588
PNS_glia	Myelinating Schwann cells (Tgfb2+)	5617	146.49100943564181	146.49100943564181
PNS_glia	Melanocyte cells	2274	157.64116094986807	157.64116094986807
PNS_glia	Satellite glial cells	4304	184.03299256505576	184.03299256505576
PNS_glia	Olfactory ensheathing cells	1991	199.47061778001006	199.47061778001006
PNS_neurons	Enteric neurons	4640	64.57887931034483	64.57887931034483
PNS_neurons	Neural crest (PNS neurons)	50974	77.26350688586338	77.26350688586338
PNS_neurons	Otic sensory neurons	7640	78.32041884816753	78.32041884816753
PNS_neurons	Dorsal root ganglion neurons	9289	166.164280331575	166.164280331575
PNS_neurons	Sympathetic neurons	12782	166.99827882960412	166.99827882960415
PNS_neurons	Olfactory sensory neurons	20964	172.96823125357756	172.96823125357756
PNS_neurons	Parasympathetic neurons	5261	186.4892605968447	186.4892605968447
PNS_neurons	Corticofugal neurons	1413	203.34607218683652	203.34607218683652
Renal	Anterior intermediate mesoderm	7833	40.3301417081578	40.3301417081578
Renal	Posterior intermediate mesoderm	10584	47.175170068027214	47.175170068027214
Renal	Renal pericytes and mesangial cells	7231	57.21615267597843	57.21615267597843
Renal	Ureteric bud	3705	164.23805668016195	164.23805668016195
Renal	Ureteric bud stalk	253	168.49802371541503	168.498023715415
Renal	Metanephric mesenchyme	16036	193.9141930656024	193.9141930656024
Renal	Nephron progenitors	11348	208.41170250264364	208.41170250264364
Renal	Proximal tubule cells	7609	225.49559731896437	225.4955973189644
Renal	Collecting duct principal cells	840	225.74285714285713	225.74285714285713
Renal	Podocytes	2396	226.15191986644408	226.15191986644408
Renal	Connecting tubule	254	230.07874015748033	230.07874015748033
Renal	Distal convoluted tubule	639	233.41784037558685	233.41784037558685
Renal	Ascending loop of Henle	1728	233.62152777777777	233.62152777777777
Renal	Collecting duct intercalated cells	182	233.8021978021978	233.8021978021978
