system	celltype_new	total_cells	age_mean	age_weighted
Brain_spinal_cord	Floorplate and p3 domain	44899	9.24298982159959	9.211649375949458
Brain_spinal_cord	Hindbrain	196381	10.7855698871072	10.981179182619696
Brain_spinal_cord	Hypothalamus	52884	13.195049542394676	13.211105373924768
Brain_spinal_cord	Hypothalamus (Sim1+)	14571	10.527280214123945	10.475635996216415
Brain_spinal_cord	Intermediate neuronal progenitors	37282	25.44579153478891	26.3381883647615
Brain_spinal_cord	Midbrain	143471	14.921614821113671	14.82312394247023
Brain_spinal_cord	Midbrain-hindbrain boundary	66056	7.778506116022768	7.327085836303372
Brain_spinal_cord	Multiciliated ependymal cells	4451	36.398786789485506	36.69223542922437
Brain_spinal_cord	NMPs and spinal cord progenitors	53719	5.563562240548037	5.4510732158772575
Brain_spinal_cord	Neural progenitor cells (Neurod1+)	23099	14.21949002121304	13.987930938484894
Brain_spinal_cord	Neural progenitor cells (Ror1+)	12037	37.714463736811496	36.8816468154458
Brain_spinal_cord	Oligodendrocyte progenitor cells	10900	37.43284403669725	37.76511412425749
Brain_spinal_cord	Posterior roof plate	11564	8.931771013490142	8.867702489537479
Brain_spinal_cord	Spinal cord dorsal progenitors (after E13.0)	8087	22.59193767775442	22.882505718768446
Brain_spinal_cord	Spinal cord ventral progenitors (after E13.0)	1965	22.713994910941476	22.581525953748397
Brain_spinal_cord	Spinal cord/r7/r8	395141	10.183443378439586	9.929216764160483
Brain_spinal_cord	Telencephalon	413590	18.602492806886037	19.235662176168606
Brain_spinal_cord	Thalamic neuronal precursors	57266	29.11280690112807	28.934336376516775
