index	system	celltype_new	n_cells	mean_ucell	pct_ucell_pos
171	Gastrulation	Primitive streak	7573.0	0.0005834176973751775	0.00792288392975043
172	Gastrulation	Primordial germ cells	380.0	0.0020289473684210516	0.02368421052631579
173	Gastrulation	Spinal cord	2150.0	0.015675142118863044	0.12930232558139534
174	Gastrulation	Surface ectoderm	2795.0	0.002611568276684554	0.03148479427549195
175	Gut	Airway club cells	6264.0	0.03035325315737193	0.16235632183908047
176	Gut	Airway goblet cells	408.0	0.020398148148148148	0.14215686274509803
177	Gut	Alveolar Type 1 cells	14321.0	0.04143598755518314	0.21660498568535716
178	Gut	Alveolar Type 2 cells	21443.0	0.02226382606082275	0.11299724851933032
179	Gut	Biliary epithelial cells	1742.0	0.03461181273121572	0.20321469575200918
180	Gut	Extraembryonic visceral endoderm	1660.0	0.02061305220883534	0.1566265060240964
181	Gut	Foregut epithelial cells	6962.0	0.029237559449711133	0.17394426888825051
182	Gut	Gut	21287.0	0.16317908165129474	0.6573495560670832
183	Gut	Hepatocytes	289569.0	0.027505404008486174	0.1748426109148424
184	Gut	Intestinal enteroendocrine cells	536.0	0.01689158374792703	0.11007462686567164
185	Gut	Intestinal goblet cells	1745.0	0.01396829035339064	0.08939828080229226
186	Gut	Lung cells (Eln+)	5308.0	0.06971154651260153	0.3285606631499623
187	Gut	Lung progenitor cells	28988.0	0.10068299526240744	0.4826134952394094
188	Gut	Midgut/Hindgut epithelial cells	47855.0	0.015894890816006688	0.10464946191620521
189	Gut	Pancreatic acinar cells	3747.0	0.043391424250511526	0.2570056044835869
190	Gut	Pancreatic islets	1323.0	0.031707734945830186	0.19501133786848074
191	Lateral_plate_mesoderm	Adrenocortical cells	3048.0	0.03267122338874307	0.19389763779527558
192	Lateral_plate_mesoderm	Airway smooth muscle cells	6938.0	0.06152506325870408	0.30340155664456614
193	Lateral_plate_mesoderm	Allantois	31010.0	0.10525506825755132	0.44953240890035473
194	Lateral_plate_mesoderm	Amniotic mesoderm	25520.0	0.046662708986415884	0.25775862068965516
195	Lateral_plate_mesoderm	Atrial cardiomyocytes	1286.0	0.01837039917055469	0.12441679626749612
196	Lateral_plate_mesoderm	Cardiopharyngeal mesoderm	19285.0	0.12038659868060957	0.48270676691729325
197	Lateral_plate_mesoderm	Extraembryonic mesoderm	57543.0	0.08730442355185591	0.3677945188815321
198	Lateral_plate_mesoderm	First heart field	28647.0	0.04007222396760569	0.23936188780675113
199	Lateral_plate_mesoderm	Foregut mesenchyme	17991.0	0.24840302867483124	0.7149130120615863
200	Lateral_plate_mesoderm	Gastrointestinal smooth muscle cells	12120.0	0.17543362669600293	0.5137788778877888
201	Lateral_plate_mesoderm	Gonad progenitor cells	4598.0	0.03409779614325069	0.19899956502827315
202	Lateral_plate_mesoderm	Granulosa cells	108.0	0.030814814814814812	0.21296296296296297
203	Lateral_plate_mesoderm	Gut mesenchyme	61542.0	0.30365646766977566	0.819960352279744
204	Lateral_plate_mesoderm	Hepatic mesenchyme	28242.0	0.14035000668822636	0.5270519085050633
205	Lateral_plate_mesoderm	Leydig cells	294.0	0.06645124716553287	0.3231292517006803
206	Lateral_plate_mesoderm	Limb mesenchyme progenitors	223422.0	0.07123912198042767	0.3366051686942199
207	Lateral_plate_mesoderm	Lung mesenchyme	74124.0	0.27557516234058244	0.7244212400841833
208	Lateral_plate_mesoderm	Meninges	6376.0	0.03160487243831033	0.1714240903387704
209	Lateral_plate_mesoderm	Mesothelial cells	59211.0	0.10413353374654484	0.3522994038269916
210	Lateral_plate_mesoderm	Proepicardium	9654.0	0.02575248026149207	0.1687383467992542
211	Lateral_plate_mesoderm	Renal stromal cells	22908.0	0.1225092544089401	0.45879168849310287
212	Lateral_plate_mesoderm	Second heart field	3537.0	0.08193739201457606	0.3604749787955895
213	Lateral_plate_mesoderm	Sertoli cells	1719.0	0.06428679464805119	0.32577079697498545
214	Lateral_plate_mesoderm	Somatic mesoderm	126741.0	0.04262483945824774	0.2372555053218769
215	Lateral_plate_mesoderm	Splanchnic mesoderm	127703.0	0.1507177417740991	0.4988371455643172
216	Lateral_plate_mesoderm	Vascular smooth muscle cells	24161.0	0.03275370316717943	0.1679152352965523
217	Lateral_plate_mesoderm	Vascular smooth muscle cells (Pparg+)	11440.0	0.01752131895881896	0.09160839160839161
218	Lateral_plate_mesoderm	Ventricular cardiomyocytes	3735.0	0.017349486836233823	0.10522088353413654
219	Mesoderm	Adipocyte cells (Cyp2e1+)	14376.0	0.02915994293784693	0.10684474123539232
220	Mesoderm	Adipocyte progenitor cells	19823.0	0.05520558485611827	0.20400544821671796
221	Mesoderm	Brown adipocyte cells	80279.0	0.018681187342655486	0.07020515950622205
222	Mesoderm	Chondrocytes (Atp1a2+)	118412.0	0.1439179968227897	0.41695098469749686
223	Mesoderm	Chondrocytes (Otor+)	12063.0	0.07318104295434945	0.22042609632761337
224	Mesoderm	Dermatome	198888.0	0.17147634761767502	0.41497224568601426
225	Mesoderm	Dermomyotome	131048.0	0.16772464344508503	0.45880135522861853
226	Mesoderm	Early chondrocytes	144311.0	0.217367385409744	0.5513647608290428
227	Mesoderm	Facial mesenchyme	382752.0	0.1666921636886145	0.45007733467101413
228	Mesoderm	Fibroblasts	648059.0	0.10495091514727066	0.29028066888971527
