system,node_id,node_name,n_cells,median,mean_ucell,q90,pct_ucell,variance,std
Epithelial_cells,Ep_M3,Basal keratinocytes,19591.0,0.0991111111111111,0.1667341296173413,0.4439999999999999,0.5406053800214384,0.0353217734021224,0.1879408774112816
Epithelial_cells,Ep_M2,Apical ectodermal ridge,6330.0,0.0,0.0486001404247849,0.2301222222222223,0.2581358609794629,0.0094687641267024,0.0973075748680563
Epithelial_cells,Ep_M19,Pituitary gland cells,4964.0,0.0,0.0420872504252842,0.202011111111111,0.2375100725221595,0.0081059070332325,0.0900328108704404
Epithelial_cells,Ep_M9,Dental epithelial cells,9903.0,0.1428888888888888,0.1576061687255265,0.3301111111111111,0.5870948197515904,0.0258799175377415,0.1608723641205707
Epithelial_cells,Ep_M26,Tooth junctional epithelium,2918.0,0.0,0.0069894524407889,0.0,0.0448937628512679,0.0013783792442977,0.0371265301946963
Epithelial_cells,Ep_M13,Olfactory bulb cells,5888.0,0.0,0.0143109148550724,0.0,0.0957880434782608,0.0026895898103618,0.051861255387445
Epithelial_cells,Ep_M7,Conjunctival goblet cells,1244.0,0.0,0.0138035012504465,0.0,0.0787781350482315,0.0029868013996877,0.0546516367521385
Epithelial_cells,Ep_M4,Bladder urothelial cells,1313.0,0.0,0.0172443936701362,0.0026222222222221,0.102056359482102,0.0041498083758631,0.0644190063247105
Epithelial_cells,Ep_M8,Corneal epithelial cells,1078.0,0.0,0.011776540919398,0.0,0.072356215213358,0.0025417698896846,0.0504159685980999
Epithelial_cells,Ep_M25,Thyroid gland cells,1578.0,0.0,0.038178143923391,0.2006555555555555,0.1989860583016476,0.0077977624154541,0.0883049399266773
Epithelial_cells,Ep_M17,Parathyroid epithelial cells,433.0,0.0,0.0772016936104696,0.2894222222222222,0.348729792147806,0.014892002892644,0.1220327943326874
